"player","exp","num","inches","team","id"
"Ben Vander Plas","Sr",5,80,"Virginia",66356
"LaQuill Hardnett","Sr",1,80,"Buffalo",66357
"Damien Daniels","Sr",1,67,"Abilene Christian",66360
"Joe Pleasant","Sr",32,79,"Abilene Christian",66361
"Yor Anei","Sr",10,82,"DePaul",66363
"Joe Reece","Sr",20,80,"Duquesne",66364
"Jason Wade","Jr",1,76,"Old Dominion",66365
"Kalu Ezikpe","Sr",1,80,"Cincinnati",66367
"Nicolas Timberlake","Sr",25,76,"Towson",66368
"Javon Pickett","Sr",4,77,"Saint Louis",66370
