"","date","type","did_win","game_id","team","conf","opp","opp_conf","min","pos","fgm","fga","tpm","tpa","ftm","fta","oreb","dreb","reb","ast","stl","blk","to","pf","pts"
"1199",2023-02-27,"conf",TRUE,"Coppin St.Delaware St.2-27","Coppin St.","MEAC","Delaware St.","MEAC",200,66.9,28,47,12,25,14,21,2,25,27,17,5,1,13,22,82
"1200",2023-02-27,"conf",FALSE,"Coppin St.Delaware St.2-27","Delaware St.","MEAC","Coppin St.","MEAC",200,66.9,22,53,8,22,20,27,10,23,33,14,8,1,10,16,72
"1201",2023-02-27,"conf",TRUE,"HowardSouth Carolina St.2-27","Howard","MEAC","South Carolina St.","MEAC",200,73.525,31,61,11,24,9,13,13,21,34,17,8,1,20,23,82
"1202",2023-02-27,"conf",FALSE,"HowardSouth Carolina St.2-27","South Carolina St.","MEAC","Howard","MEAC",200,73.525,26,54,5,21,21,25,10,19,29,12,6,3,17,13,78
"1203",2023-02-27,"conf",TRUE,"SouthernFlorida A&M2-27","Southern","SWAC","Florida A&M","SWAC",200,70.9125,23,55,3,18,11,19,6,33,39,6,9,0,13,15,60
"1204",2023-02-27,"conf",FALSE,"SouthernFlorida A&M2-27","Florida A&M","SWAC","Southern","SWAC",200,70.9125,23,61,8,25,4,8,8,30,38,17,7,1,14,16,58
"1205",2023-02-27,"conf",FALSE,"Idaho St.Northern Colorado2-27","Idaho St.","BSky","Northern Colorado","BSky",200,71,28,64,6,21,10,16,9,26,35,13,3,4,7,19,72
"1206",2023-02-27,"conf",TRUE,"Idaho St.Northern Colorado2-27","Northern Colorado","BSky","Idaho St.","BSky",200,71,32,58,5,18,18,24,4,29,33,11,2,6,7,18,87
"1207",2023-02-27,"conf",TRUE,"Morgan St.Maryland Eastern Shore2-27","Morgan St.","MEAC","Maryland Eastern Shore","MEAC",200,77.5,26,61,4,12,12,15,10,37,47,16,7,3,21,21,68
"1208",2023-02-27,"conf",FALSE,"Morgan St.Maryland Eastern Shore2-27","Maryland Eastern Shore","MEAC","Morgan St.","MEAC",200,77.5,19,62,8,23,15,25,11,27,38,10,11,3,13,13,61
"1209",2023-02-27,"conf",FALSE,"Norfolk St.North Carolina Central2-27","Norfolk St.","MEAC","North Carolina Central","MEAC",225,72.875,26,53,4,12,19,30,10,25,35,6,13,6,17,18,75
"1210",2023-02-27,"conf",TRUE,"Norfolk St.North Carolina Central2-27","North Carolina Central","MEAC","Norfolk St.","MEAC",225,72.875,28,63,9,29,11,20,16,21,37,14,7,1,15,25,76
"1211",2023-02-27,"conf",TRUE,"MontanaIdaho2-27","Montana","BSky","Idaho","BSky",200,62.2,27,58,8,20,6,8,9,25,34,11,4,6,10,16,68
"1212",2023-02-27,"conf",FALSE,"MontanaIdaho2-27","Idaho","BSky","Montana","BSky",200,62.2,19,49,2,10,13,16,7,23,30,4,2,2,12,11,53
"1213",2023-02-27,"conf",TRUE,"Weber St.Northern Arizona2-27","Weber St.","BSky","Northern Arizona","BSky",225,74.2625,32,57,12,25,14,19,8,29,37,17,5,1,15,19,90
"1214",2023-02-27,"conf",FALSE,"Weber St.Northern Arizona2-27","Northern Arizona","BSky","Weber St.","BSky",225,74.2625,32,77,14,40,11,20,21,22,43,19,10,0,10,18,89
"1215",2023-02-27,"conf",TRUE,"Montana St.Eastern Washington2-27","Montana St.","BSky","Eastern Washington","BSky",200,63.8625,29,55,7,19,14,16,9,20,29,11,8,1,11,18,79
"1216",2023-02-27,"conf",FALSE,"Montana St.Eastern Washington2-27","Eastern Washington","BSky","Montana St.","BSky",200,63.8625,27,52,8,19,12,15,8,17,25,8,4,2,12,16,74
"1217",2023-02-27,"conf",TRUE,"BaylorOklahoma St.2-27","Baylor","B12","Oklahoma St.","B12",200,61.3875,23,55,11,31,17,20,13,19,32,13,6,0,11,17,74
"1218",2023-02-27,"conf",FALSE,"BaylorOklahoma St.2-27","Oklahoma St.","B12","Baylor","B12",200,61.3875,27,68,9,32,5,9,22,18,40,13,4,2,10,17,68
"1219",2023-02-27,"conf",FALSE,"NevadaWyoming2-27","Nevada","MWC","Wyoming","MWC",200,71.1875,25,61,7,21,14,17,7,20,27,12,8,2,9,25,71
"1220",2023-02-27,"conf",TRUE,"NevadaWyoming2-27","Wyoming","MWC","Nevada","MWC",200,71.1875,23,47,10,23,24,28,6,31,37,13,4,4,17,18,80
"1221",2023-02-27,"conf",TRUE,"West VirginiaIowa St.2-27","West Virginia","B12","Iowa St.","B12",200,64.2375,22,50,9,27,19,23,7,22,29,11,5,3,12,20,72
"1222",2023-02-27,"conf",FALSE,"West VirginiaIowa St.2-27","Iowa St.","B12","West Virginia","B12",200,64.2375,24,52,8,21,13,18,8,18,26,13,6,1,10,25,69
"1223",2023-02-27,"conf",FALSE,"Prairie View A&MJackson St.2-27","Prairie View A&M","SWAC","Jackson St.","SWAC",200,69.4375,19,63,10,30,9,13,9,16,25,13,13,4,10,16,57
"1224",2023-02-27,"conf",TRUE,"Prairie View A&MJackson St.2-27","Jackson St.","SWAC","Prairie View A&M","SWAC",200,69.4375,24,48,5,12,8,12,8,31,39,13,5,2,23,15,61
"1225",2023-02-27,"conf",FALSE,"Texas SouthernAlcorn St.2-27","Texas Southern","SWAC","Alcorn St.","SWAC",200,74.5625,32,62,4,16,13,15,8,23,31,8,2,0,13,24,81
"1226",2023-02-27,"conf",TRUE,"Texas SouthernAlcorn St.2-27","Alcorn St.","SWAC","Texas Southern","SWAC",200,74.5625,27,59,6,19,29,40,7,22,29,14,9,2,4,19,89
"1227",2023-02-27,"conf",TRUE,"Sacramento St.Portland St.2-27","Sacramento St.","BSky","Portland St.","BSky",200,72.45,29,55,1,11,17,22,9,24,33,19,8,1,15,21,76
"1228",2023-02-27,"conf",FALSE,"Sacramento St.Portland St.2-27","Portland St.","BSky","Sacramento St.","BSky",200,72.45,26,55,6,17,16,22,7,18,25,16,5,3,15,19,74
"1229",2023-02-26,"conf",FALSE,"NorthwesternMaryland2-26","Northwestern","B10","Maryland","B10",200,55.0625,24,53,5,19,6,7,9,19,28,9,2,2,7,12,59
"1230",2023-02-26,"conf",TRUE,"NorthwesternMaryland2-26","Maryland","B10","Northwestern","B10",200,55.0625,28,52,14,22,5,8,7,21,28,17,2,4,7,8,75
"1231",2023-02-26,"conf",FALSE,"IllinoisOhio St.2-26","Illinois","B10","Ohio St.","B10",200,68.7,22,61,6,29,10,14,9,19,28,8,4,4,11,13,60
"1232",2023-02-26,"conf",TRUE,"IllinoisOhio St.2-26","Ohio St.","B10","Illinois","B10",200,68.7,30,56,3,14,9,10,8,32,40,10,6,3,15,15,72
"1233",2023-02-26,"conf",TRUE,"ProvidenceGeorgetown2-26","Providence","BE","Georgetown","BE",200,70.4625,35,69,10,19,8,12,14,28,42,23,10,7,9,10,88
"1234",2023-02-26,"conf",FALSE,"ProvidenceGeorgetown2-26","Georgetown","BE","Providence","BE",200,70.4625,25,63,11,28,7,11,11,24,35,12,7,7,14,11,68
"1235",2023-02-26,"conf",FALSE,"Saint Joseph'sSt. Bonaventure2-26","Saint Joseph's","A10","St. Bonaventure","A10",200,69.3,22,50,10,32,22,26,7,16,23,9,4,3,14,22,76
"1236",2023-02-26,"conf",TRUE,"Saint Joseph'sSt. Bonaventure2-26","St. Bonaventure","A10","Saint Joseph's","A10",200,69.3,29,51,9,21,22,30,9,22,31,12,7,2,13,18,89
"1237",2023-02-26,"conf",FALSE,"SienaIona2-26","Siena","MAAC","Iona","MAAC",200,77.925,23,63,7,30,7,12,10,27,37,18,6,2,20,22,60
"1238",2023-02-26,"conf",TRUE,"SienaIona2-26","Iona","MAAC","Siena","MAAC",200,77.925,29,63,10,20,25,34,13,31,44,21,13,5,11,15,93
"1239",2023-02-26,"conf",FALSE,"FairfieldCanisius2-26","Fairfield","MAAC","Canisius","MAAC",200,65.1375,20,57,8,21,3,5,6,23,29,11,6,2,13,13,51
