"date","type","location","did_win","team","conf","opp","opp_conf","min","pos","fgm","fga","tpm","tpa","ftm","fta","oreb","dreb","reb","ast","stl","blk","to","pf","pts","second_chance_pts","second_chance_fgm","second_chance_fga","second_change_fg_pct","pts_in_paint","pts_in_paint_fgm","pts_in_paint_fga","pts_in_paint_fg_pct","fast_brk_pts","fast_brk_fgm","fast_brk_fga","fast_brk_fg_pct","bench_pts","pts_tov","biggest_lead_score","biggest_lead","biggest_run_score","biggest_run","lead_changes","time_leading","quad_game","game_id","year"
"2022-03-22","post","H",true,"Xavier","BE","Vanderbilt","SEC",200,67,27,51,5,14,16,24,5,26,31,14,5,6,10,14,75,5,3,6,0.5,32,16,26,0.61538,11,7,9,0.77778,20,11,"23 - 17",6,"40-41",9,9,9.873333,"quad2","VanderbiltXavier3-22",2022
"2022-03-22","post","N",true,"Middle Tennessee","CUSA","Abilene Christian","WAC",200,68,30,53,10,22,15,23,5,20,25,19,11,4,12,23,85,5,,,,36,,,,2,,,,25,20,,20,,,1,0,"quad3","Middle TennesseeAbilene Christian3-22",2022
"2022-03-22","post","N",false,"Abilene Christian","WAC","Middle Tennessee","CUSA",200,68,20,49,8,19,21,27,12,21,33,10,5,2,16,20,69,10,,,,22,,,,2,,,,26,15,,11,,,0,0,"quad2","Middle TennesseeAbilene Christian3-22",2022
"2022-03-22","post","N",true,"UNC Wilmington","CAA","Northern Colorado","BSky",200,62,30,56,5,12,15,18,7,28,35,8,5,2,4,20,80,11,,,,44,,,,4,,,,20,17,,17,,,0,0,"quad4","UNC WilmingtonNorthern Colorado3-22",2022
"2022-03-22","post","N",false,"Northern Colorado","BSky","UNC Wilmington","CAA",200,62,23,58,9,27,9,15,12,21,33,10,1,1,10,14,64,17,,,,22,,,,2,,,,12,2,,0,,,0,0,"quad3","UNC WilmingtonNorthern Colorado3-22",2022
"2022-03-21","post","N",false,"Drake","MVC","UNC Wilmington","CAA",200,64,31,57,7,18,6,7,6,24,30,11,3,3,11,13,75,7,,,,34,,,,6,,,,11,8,,22,,,1,0,"quad3","DrakeUNC Wilmington3-21",2022
"2022-03-21","post","N",true,"UNC Wilmington","CAA","Drake","MVC",200,64,28,59,6,15,14,16,8,18,26,11,7,3,6,12,76,14,,,,32,,,,4,,,,18,14,,1,,,2,0,"quad2","DrakeUNC Wilmington3-21",2022
"2022-03-21","post","N",true,"Northern Colorado","BSky","UNC Asheville","BSth",200,70,34,62,14,31,5,10,9,28,37,16,0,5,12,14,87,5,,,,36,,,,2,,,,9,6,,5,,,6,0,"quad3","Northern ColoradoUNC Asheville3-21",2022
"2022-03-21","post","N",false,"UNC Asheville","BSth","Northern Colorado","BSky",200,70,34,71,7,18,9,13,9,24,33,12,6,3,4,15,84,8,,,,46,,,,2,,,,9,19,,13,,,6,0,"quad4","Northern ColoradoUNC Asheville3-21",2022
"2022-03-21","post","N",true,"Middle Tennessee","CUSA","Boston University","Pat",200,61,30,54,10,24,6,10,4,25,29,12,9,5,7,16,76,5,,,,38,,,,4,,,,24,17,,30,,,0,0,"quad3","Middle TennesseeBoston University3-21",2022
"2022-03-21","post","N",false,"Boston University","Pat","Middle Tennessee","CUSA",200,61,17,53,5,25,7,10,9,22,31,7,1,1,12,10,46,5,,,,20,,,,0,,,,14,6,,0,,,0,0,"quad3","Middle TennesseeBoston University3-21",2022
"2022-03-21","post","A",false,"Florida Gulf Coast","ASun","Coastal Carolina","SB",200,77,25,58,11,34,7,14,5,26,31,9,7,2,17,18,68,6,4,7,0.57143,20,10,18,0.55556,4,2,4,0.5,25,8,"34 - 42",8,"34-42",9,8,13.685,"quad3","Florida Gulf CoastCoastal Carolina3-21",2022
"2022-03-21","post","H",true,"Coastal Carolina","SB","Florida Gulf Coast","ASun",200,77,33,70,5,19,13,17,14,32,46,18,10,2,14,12,84,13,8,15,0.53333,50,25,42,0.59524,21,12,12,1,12,23,"82 - 62",20,"73-60",9,8,24.681667,"quad4","Florida Gulf CoastCoastal Carolina3-21",2022
"2022-03-21","post","A",false,"USC Upstate","BSth","South Alabama","SB",200,67,23,55,9,23,24,27,13,19,32,12,6,2,14,19,79,14,8,15,0.53333,22,11,21,0.52381,0,0,1,0,8,12,,0,"63-56",8,0,0,"quad3","USC UpstateSouth Alabama3-21",2022
"2022-03-21","post","H",true,"South Alabama","SB","USC Upstate","BSth",200,67,30,51,6,13,17,25,8,21,29,15,9,2,11,20,83,12,6,7,0.85714,44,22,31,0.70968,11,6,7,0.85714,33,18,"56 - 39",17,"10-0",10,0,39.7,"quad4","USC UpstateSouth Alabama3-21",2022
"2022-03-21","post","N",true,"Abilene Christian","WAC","Ohio","MAC",200,74,29,54,8,18,25,29,4,25,29,18,10,2,11,32,91,2,,,,0,,,,0,,,,33,15,,10,,,1,0,"quad3","Abilene ChristianOhio3-21",2022
