"team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"Wake Forest","ACC",0.697672,102,106.859,116,99.3648,95,72.3519,45,-6.2218896775645,23,0.6116,0.6116,34,0.7376,0.7376,,2016
"UT Arlington","SB",0.696217,103,106.061,130,98.6816,79,73.1349,24,-3.9004242414468,18,0.46440000000000003,0.46440000000000003,13,0.4416,0.4416,,2016
"James Madison","CAA",0.693539,104,105.954,131,98.69,80,67.6428,247,-4.3197731359935,14,0.46,0.46,15,0.519,0.519,,2016
"Hofstra","CAA",0.685538,105,110.111,73,102.896,161,70.3342,104,-1.6118790587108,16,0.49219999999999997,0.49219999999999997,17,0.543,0.543,,2016
"Iona","MAAC",0.682187,106,109.126,86,102.114,143,72.577,37,-3.5540623248286,27,0.6236,0.6236,15,0.46530000000000005,0.46530000000000005,14,2016
"New Mexico","MWC",0.680897,107,108.167,99,101.268,131,71.8191,56,-6.8156245000557,19,0.5392,0.5392,18,0.5631,0.5631,,2016
"Stanford","P12",0.680048,108,106.705,119,99.9333,109,66.7076,287,-2.609442289331,25,0.5854999999999999,0.5854999999999999,33,0.7328,0.7328,,2016
"Davidson","A10",0.676658,109,113.008,41,105.979,213,71.2854,67,-2.0887238555134,23,0.5575,0.5575,24,0.6324,0.6324,,2016
"Fresno St.","MWC",0.664607,110,106.274,128,100.139,112,69.7904,126,-0.86068180447274,18,0.47690000000000005,0.47690000000000005,19,0.5596000000000001,0.5596000000000001,14,2016
"New Mexico St.","WAC",0.652499,111,101.343,206,95.9402,37,66.4183,299,-4.0969685461359,20,0.4976,0.4976,15,0.43100000000000005,0.43100000000000005,,2016
"Columbia","Ivy",0.651238,112,111.823,54,105.912,212,65.8951,315,-4.2644642609505,14,0.42530000000000007,0.42530000000000007,13,0.4401,0.4401,,2016
"Stony Brook","AE",0.64802,113,104.642,160,99.2333,93,67.7292,243,-1.126263150482,22,0.5912999999999999,0.5912999999999999,13,0.40490000000000004,0.40490000000000004,13,2016
"Illinois St.","MVC",0.646002,114,103.268,174,98.0055,66,68.2557,211,-5.4840914074021,24,0.5908,0.5908,20,0.5506000000000001,0.5506000000000001,,2016
"UNLV","MWC",0.644031,115,103.209,176,98.0232,67,73.5832,17,-6.2908754702201,27,0.5761000000000001,0.5761000000000001,20,0.5744,0.5744,,2016
"Toledo","MAC",0.633792,116,107.875,107,102.85,159,69.9703,118,-9.7854678415932,9,0.396,0.396,11,0.4606,0.4606,,2016
"Chattanooga","SC",0.62859,117,105.567,141,100.846,124,67.2454,261,0.39357908491946,21,0.5031,0.5031,13,0.41940000000000005,0.41940000000000005,12,2016
"Louisiana Monroe","SB",0.626575,118,106.882,114,102.178,146,66.5648,292,-6.3070184848423,21,0.5361,0.5361,15,0.48900000000000005,0.48900000000000005,,2016
"Middle Tennessee","CUSA",0.622432,119,103.895,168,99.4759,98,68.433,198,-3.1648960423286,16,0.5710000000000001,0.5710000000000001,15,0.4981,0.4981,15,2016
"Milwaukee","Horz",0.622194,120,111.126,60,106.408,222,67.1122,268,-6.7646831572085,16,0.5002,0.5002,14,0.4655,0.4655,,2016
