"date","conf","line","ttq","type","team1","team1_wp","team1_pts","team2","team2_wp","team2_pts","game_id","year"
2021-11-09,"SWAC at P12","Washington St. -17.2, 75-58 (95%)",35.14427063765909,"nc","Alcorn St.",0.04727832172608774,57.505864767181286,"Washington St.",0.9527216782739124,74.6672020204594,"Alcorn St.Washington St.11-9",2022
2021-11-09,"SWAC at WCC","Saint Mary's -22.3, 78-56 (98%)",35.130233589430496,"nc","Prairie View A&M",0.02046990734699253,55.71820925389086,"Saint Mary's",0.9795300926530076,77.99658296371396,"Prairie View A&MSaint Mary's11-9",2022
2021-11-09,"Ivy at ACC","Boston College -9.0, 66-57 (84%)",35.104203422039305,"nc","Dartmouth",0.15627886897847013,56.71062453597058,"Boston College",0.8437211310215299,65.66630431624412,"DartmouthBoston College11-9",2022
2021-11-09,"MAC at ACC","Georgia Tech -10.6, 77-66 (85%)",34.93561871124199,"nc","Miami OH",0.15296775661336004,66.10984119220396,"Georgia Tech",0.84703224338664,76.71864088319967,"Miami OHGeorgia Tech11-9",2022
2021-11-09,"ASun at B12","Iowa St. -15.7, 73-57 (94%)",34.883436904944624,"nc","Kennesaw St.",0.05724378377482327,57.07822381550288,"Iowa St.",0.9427562162251768,72.82289411881669,"Kennesaw St.Iowa St.11-9",2022
2021-11-09,"MAAC at ACC","Miami FL -20.9, 82-62 (97%)",34.87454422132595,"nc","Canisius",0.03348888531115716,61.53069011164879,"Miami FL",0.9665111146888428,82.42803188923368,"CanisiusMiami FL11-9",2022
2021-11-09,"OVC at BE","Marquette -18.7, 82-63 (95%)",34.8477518662302,"nc","SIU Edwardsville",0.04780115048573746,62.84288324697415,"Marquette",0.9521988495142626,81.51504654836472,"SIU EdwardsvilleMarquette11-9",2022
2021-11-09,"Slnd at Amer","Tulane -19.2, 88-69 (94%)",34.80888897399759,"nc","Southeastern Louisiana",0.05513015880778426,68.62825113495504,"Tulane",0.9448698411922156,87.86294969491995,"Southeastern LouisianaTulane11-9",2022
2021-11-09,"BSky at P12","Arizona -33.1, 93-59 (99%)",34.79835750376429,"nc","Northern Arizona",0.00606443961476789,59.38327494997542,"Arizona",0.993935560385232,92.5199174343831,"Northern ArizonaArizona11-9",2022
2021-11-09,"Pat at ACC","Virginia -10.1, 59-49 (90%)",34.74328152844411,"nc","Navy",0.10328254542328216,48.856464142986034,"Virginia",0.8967174545767178,58.9578881703772,"NavyVirginia11-9",2022
2021-11-09,"NEC at BE","Villanova -20.9, 71-50 (98%)",34.435153320693594,"nc","Mount St. Mary's",0.01724507412753845,49.696001710657875,"Villanova",0.9827549258724616,70.63142771316625,"Mount St. Mary'sVillanova11-9",2022
2021-11-09,"ASun at A10","Saint Louis -20.9, 88-67 (96%)",34.19260966911267,"nc","Central Arkansas",0.04184819939876491,66.94099675011849,"Saint Louis",0.9581518006012352,87.88848152760228,"Central ArkansasSaint Louis11-9",2022
2021-11-09,"MAAC at A10","St. Bonaventure -12.7, 72-59 (90%)",33.76329268545399,"nc","Siena",0.09739602532965158,59.38952951086313,"St. Bonaventure",0.9026039746703484,72.0763882278562,"SienaSt. Bonaventure11-9",2022
2021-11-09,"MVC at Horz","Indiana St. -5.1, 68-63 (71%)",33.61055845196664,"nc","Indiana St.",0.7095385117252906,67.80397666887325,"Green Bay",0.2904614882747094,62.73730016967728,"Indiana St.Green Bay11-9",2022
2021-11-09,"CAA at AE","Towson -9.4, 66-57 (85%)",33.45295755808596,"nc","Towson",0.8525864656971339,66.40437627545745,"Albany",0.14741353430286608,57.00570846147233,"TowsonAlbany11-9",2022
2021-11-09,"BW at P12","UCLA -25.1, 78-53 (99%)",33.431095145557514,"nc","Cal St. Bakersfield",0.0117082048516642,53.24985255007893,"UCLA",0.9882917951483358,78.31248543730761,"Cal St. BakersfieldUCLA11-9",2022
2021-11-09,"CUSA at SEC","Georgia -9.1, 78-68 (81%)",33.36726928331448,"nc","FIU",0.1911133111571188,68.44000854300799,"Georgia",0.8088866888428812,77.58838803782942,"FIUGeorgia11-9",2022
2021-11-09,"CAA at SEC","Florida -16.1, 75-59 (94%)",33.179415603803534,"nc","Elon",0.05846333953608972,58.809994920338184,"Florida",0.9415366604639104,74.88651671018349,"ElonFlorida11-9",2022
