"","date","tv","opponent","arena","location","time","team"
"248",2022-11-08,"ESPN+","Keystone","Christl Arena","Home","19:30","Army"
"249",2022-11-12,"ESPN+","Stonehill","Christl Arena","Home","13:00","Army"
"250",2022-11-17,"ESPN+","Siena","MVP Arena","Away","19:00","Army"
"251",2022-11-19,NA,"William & Mary","Kaplan Arena","Away","16:00","Army"
"252",2022-11-20,NA,"Radford","Kaplan Arena","Neutral","14:00","Army"
"253",2022-11-24,NA,"Princeton","Copper Box Arena","Neutral","14:30","Army"
"254",2022-11-30,"ESPN+","US Merchant Marine Academy","Christl Arena","Home","18:00","Army"
"255",2022-12-03,NA,"Wagner","Christl Arena","Home","13:00","Army"
"256",2022-12-08,NA,"NJIT","Christl Arena","Home","19:00","Army"
"257",2022-12-10,"ESPN+","Rhode Island","Ryan Center","Away","14:00","Army"
"258",2022-12-18,NA,"Stony Brook","Island FCU Arena","Away","13:00","Army"
"259",2022-12-21,NA,"Central Connecticut","William H. Detrick Gymnasium","Away","19:00","Army"
"260",2022-12-30,NA,"Lehigh","Christl Arena","Home","18:00","Army"
"261",2023-01-03,NA,"Lafayette","Kirby Sports Center","Away","19:00","Army"
"262",2023-01-06,NA,"Loyola Maryland","Reitz Arena","Away","19:00","Army"
"263",2023-01-10,NA,"Colgate","Christl Arena","Home","19:00","Army"
"264",2023-01-11,NA,"American","Christl Arena","Home","18:00","Army"
"265",2023-01-14,NA,"Boston University","Case Gym","Away","13:00","Army"
"266",2023-01-18,NA,"Bucknell","Christl Arena","Home","18:00","Army"
"267",2023-01-21,NA,"Navy","Christl Arena","Home","13:30","Army"
"268",2023-01-26,NA,"American","Bender Arena","Away","19:00","Army"
"269",2023-01-28,NA,"Holy Cross","Christl Arena","Home","13:00","Army"
"270",2023-02-02,NA,"Lehigh","Stabler Arena","Away","19:00","Army"
"271",2023-02-05,NA,"Bucknell","Sojka Pavilion","Away","19:00","Army"
"272",2023-02-08,NA,"Loyola Maryland","Christl Arena","Home","18:00","Army"
"273",2023-02-11,NA,"Navy","Alumni Hall (Navy)","Away","13:30","Army"
"274",2023-02-16,NA,"Colgate","Cotterell Court","Away","19:00","Army"
"275",2023-02-18,NA,"Lafayette","Christl Arena","Home","13:00","Army"
"276",2023-02-22,NA,"Boston University","Christl Arena","Home","18:00","Army"
"277",2023-02-25,NA,"Holy Cross","Hart Center","Away","00:00","Army"
"278",2022-11-08,"ESPN+","George Mason","Neville Arena","Home","20:00","Auburn"
"279",2022-11-08,"SECN+","George Mason","Neville Arena","Home","20:00","Auburn"
"280",2022-11-12,"ESPN+","South Florida","Neville Arena","Home","20:00","Auburn"
"281",2022-11-12,"SECN+","South Florida","Neville Arena","Home","20:00","Auburn"
"282",2022-11-16,"SECN","Winthrop","Neville Arena","Home","19:00","Auburn"
"283",2022-11-19,"ESPN+","Texas Southern","Neville Arena","Home","20:00","Auburn"
"284",2022-11-19,"SECN+","Texas Southern","Neville Arena","Home","20:00","Auburn"
"285",2022-11-22,"CBSSN","Bradley","Hard Rock Hotel Riviera Maya","Neutral","18:00","Auburn"
"286",2022-11-27,"SECN","Saint Louis","Neville Arena","Home","15:00","Auburn"
"287",2022-12-03,"ESPN+","Colgate","Neville Arena","Home","20:00","Auburn"
"288",2022-12-03,"SECN+","Colgate","Neville Arena","Home","20:00","Auburn"
"289",2022-12-10,"ESPN2","Memphis","State Farm Arena","Neutral","17:00","Auburn"
"290",2022-12-15,"ESPN+","Georgia St.","Neville Arena","Home","20:00","Auburn"
"291",2022-12-15,"SECN+","Georgia St.","Neville Arena","Home","20:00","Auburn"
"292",2022-12-18,"ESPN","USC","Galen Center","Away","17:30","Auburn"
"293",2022-12-22,NA,"Washington","Alaska Airlines Arena","Away","21:00","Auburn"
"294",2022-12-29,"ESPN2","Florida","Neville Arena","Home","19:00","Auburn"
"295",2023-01-04,"SECN","Georgia","Stegeman Coliseum","Away","18:30","Auburn"
"296",2023-01-08,"SECN","Arkansas","Neville Arena","Home","20:30","Auburn"
"297",2023-01-11,NA,"Mississippi","The Sandy and John Black Pavilion at Ole Miss","Away","21:00","Auburn"
"298",2023-01-15,"SECN","Mississippi St.","Neville Arena","Home","20:30","Auburn"
"299",2023-01-19,NA,"LSU","Pete Maravich Assembly Center","Away","19:00","Auburn"
"300",2023-01-21,"SECN","South Carolina","Colonial Life Arena","Away","15:30","Auburn"
"301",2023-01-26,NA,"Texas A&M","Neville Arena","Home","21:00","Auburn"
"302",2023-01-28,NA,"West Virginia","WVU Coliseum","Away","12:00","Auburn"
"303",2023-02-02,"SECN","Georgia","Neville Arena","Home","19:00","Auburn"
"304",2023-02-04,NA,"Tennessee","Thompson-Boling Arena","Away","14:00","Auburn"
"305",2023-02-08,NA,"Texas A&M","Reed Arena","Away","19:00","Auburn"
"306",2023-02-11,NA,"Alabama","Neville Arena","Home","14:00","Auburn"
"307",2023-02-15,NA,"Missouri","Neville Arena","Home","19:00","Auburn"
"308",2023-02-19,"SECN","Vanderbilt","Memorial Gymnasium (TN)","Away","20:30","Auburn"
"309",2023-02-23,"SECN","Mississippi","Neville Arena","Home","21:00","Auburn"
"310",2023-02-25,NA,"Kentucky","Rupp Arena","Away","16:00","Auburn"
"311",2023-03-02,NA,"Alabama","Coleman Coliseum","Away","19:00","Auburn"
"312",2023-03-04,NA,"Tennessee","Neville Arena","Home","16:00","Auburn"
"313",2022-11-08,"ESPN3","Earlham","Worthen Arena","Home","19:00","Ball St."
