"","date","tv","opponent","arena","location","time","team"
"314",2022-11-08,"ESPN+","Earlham","Worthen Arena","Home","19:00","Ball St."
"315",2022-11-12,"ESPN+","Indiana St.","Hulman Center","Away","14:00","Ball St."
"316",2022-11-17,NA,"Nebraska Omaha","Baxter Arena","Away","20:30","Ball St."
"317",2022-11-19,"ESPN3","Indiana South Bend","Worthen Arena","Home","14:00","Ball St."
"318",2022-11-25,NA,"Vermont","Baha Mar Convention Center","Neutral","12:00","Ball St."
"319",2022-12-03,"ESPN+","Duquesne","UPMC Cooper Fieldhouse","Away","14:00","Ball St."
"320",2022-12-08,"ESPN+","Eastern Illinois","Lantz Arena","Away","20:00","Ball St."
"321",2022-12-10,"ESPN+","Evansville","Worthen Arena","Home","14:00","Ball St."
"322",2022-12-17,NA,"Illinois St.","Gainbridge Fieldhouse","Neutral","15:30","Ball St."
"323",2022-12-22,"ESPN+","Georgia Southern","Worthen Arena","Home","19:00","Ball St."
"324",2022-12-29,"ESPN+","Chicago St.","Worthen Arena","Home","19:00","Ball St."
"325",2023-01-04,NA,"Toledo","Savage Arena","Away","19:00","Ball St."
"326",2023-01-08,NA,"Akron","Worthen Arena","Home","20:30","Ball St."
"327",2023-01-11,"ESPN+","Ohio","Convocation Center (OH)","Away","19:00","Ball St."
"328",2023-01-14,"ESPN3","Miami OH","Worthen Arena","Home","14:00","Ball St."
"329",2023-01-18,"ESPN+","Western Michigan","Worthen Arena","Home","19:00","Ball St."
"330",2023-01-20,NA,"Kent St.","M.A.C. Center","Away","18:30","Ball St."
"331",2023-01-25,"ESPN+","Buffalo","Worthen Arena","Home","19:00","Ball St."
"332",2023-01-28,"ESPN3","Northern Illinois","NIU Convocation Center","Away","16:30","Ball St."
"333",2023-02-01,"ESPN+","Bowling Green","Stroh Center","Away","19:00","Ball St."
"334",2023-02-04,"ESPN3","Eastern Michigan","Worthen Arena","Home","14:00","Ball St."
"335",2023-02-08,"ESPN+","Central Michigan","McGuirk Arena","Away","19:00","Ball St."
"336",2023-02-11,"ESPN+","Bowling Green","Worthen Arena","Home","14:00","Ball St."
"337",2023-02-15,"ESPN+","Northern Illinois","Worthen Arena","Home","19:00","Ball St."
"338",2023-02-18,"ESPN3","Western Michigan","University Arena (MI)","Away","14:30","Ball St."
"339",2023-02-22,"ESPN+","Kent St.","Worthen Arena","Home","19:00","Ball St."
"340",2023-02-25,"ESPN3","Eastern Michigan","Convocation Center (MI)","Away","15:30","Ball St."
"341",2023-03-01,"ESPN+","Akron","James A. Rhodes Arena","Away","19:00","Ball St."
"342",2023-03-04,"ESPN3","Toledo","Worthen Arena","Home","19:00","Ball St."
"343",2022-11-07,"BIG12|ESPN+","Mississippi Valley St.","Ferrell Center","Home","12:00","Baylor"
"344",2022-11-12,"BIG12|ESPN+","Norfolk St.","Ferrell Center","Home","20:00","Baylor"
"345",2022-11-15,"BIG12|ESPN+","Northern Colorado","Ferrell Center","Home","20:00","Baylor"
"346",2022-11-19,"ESPN2","Virginia","T-Mobile Arena","Neutral","19:00","Baylor"
"347",2022-11-23,"BIG12|ESPN+","McNeese St.","Ferrell Center","Home","16:00","Baylor"
"348",2022-11-30,"FS1","Marquette","Fiserv Forum","Away","20:30","Baylor"
"349",2022-12-03,NA,"Gonzaga","Sanford Pentagon","Neutral","20:00","Baylor"
"350",2022-12-07,"BIG12|ESPN+","Tarleton St.","Ferrell Center","Home","20:00","Baylor"
"351",2022-12-19,"ESPN2","Washington St.","American Airlines Center","Neutral","22:00","Baylor"
"352",2022-12-21,"ESPN+","Northwestern St.","Ferrell Center","Home","20:00","Baylor"
"353",2022-12-29,"ESPN+","Nicholls St.","Ferrell Center","Home","20:00","Baylor"
"354",2022-12-31,NA,"Iowa St.","James H. Hilton Coliseum","Away","00:00","Baylor"
"355",2023-01-05,NA,"TCU","Ferrell Center","Home","21:00","Baylor"
"356",2023-01-07,"BIG12|ESPN+","Kansas St.","Ferrell Center","Home","18:00","Baylor"
"357",2023-01-12,"BIG12|ESPN+","West Virginia","WVU Coliseum","Away","19:00","Baylor"
"358",2023-01-14,NA,"Oklahoma St.","Ferrell Center","Home","18:00","Baylor"
"359",2023-01-18,"ESPNU","Texas Tech","United Supermarkets Arena","Away","21:00","Baylor"
"360",2023-01-21,NA,"Oklahoma","Lloyd Noble Center","Away","16:00","Baylor"
"361",2023-01-24,"ESPN","Kansas","Ferrell Center","Home","21:00","Baylor"
"362",2023-01-28,"ESPN","Arkansas","Ferrell Center","Home","00:00","Baylor"
"363",2023-01-31,NA,"Texas","Moody Center","Away","21:00","Baylor"
"364",2023-02-04,NA,"Texas Tech","Ferrell Center","Home","13:00","Baylor"
"365",2023-02-09,NA,"Oklahoma","Ferrell Center","Home","21:00","Baylor"
"366",2023-02-11,NA,"TCU","Ed and Rae Schollmaier Arena","Away","16:00","Baylor"
"367",2023-02-14,NA,"West Virginia","Ferrell Center","Home","21:00","Baylor"
"368",2023-02-18,"ESPN","Kansas","Allen Fieldhouse","Away","16:00","Baylor"
"369",2023-02-22,NA,"Kansas St.","Bramlage Coliseum","Away","19:00","Baylor"
"370",2023-02-25,NA,"Texas","Ferrell Center","Home","14:00","Baylor"
"371",2023-02-28,NA,"Oklahoma St.","Gallagher-Iba Arena","Away","21:00","Baylor"
"372",2023-03-04,NA,"Iowa St.","Ferrell Center","Home","00:00","Baylor"
"373",2022-11-10,NA,"South Dakota St.","ExtraMile Arena","Home","21:00","Boise St."
"374",2022-11-13,NA,"Washington St.","Idaho Central Arena","Neutral","19:00","Boise St."
"375",2022-11-18,"ESPNN","Charlotte","The HTC Center","Neutral","19:00","Boise St."
"376",2022-11-26,NA,"Utah Valley","ExtraMile Arena","Home","16:00","Boise St."
"377",2022-11-30,NA,"Cal State Northridge","ExtraMile Arena","Home","21:00","Boise St."
"378",2022-12-04,"ESPNU","Texas A&M","Dickies Arena","Neutral","19:00","Boise St."
"379",2022-12-07,NA,"Eastern Oregon","ExtraMile Arena","Home","21:00","Boise St."
"380",2022-12-11,"ESPN+","Saint Louis","Chaifetz Arena","Away","20:00","Boise St."
"381",2022-12-14,NA,"New Orleans","ExtraMile Arena","Home","21:00","Boise St."
"382",2022-12-18,NA,"Oakland","ExtraMile Arena","Home","16:00","Boise St."
"383",2022-12-22,NA,"Santa Clara","Leavey Center","Away","17:00","Boise St."
"384",2022-12-29,NA,"Nevada","Lawlor Events Center","Away","22:00","Boise St."
"385",2023-01-04,NA,"San Jose St.","ExtraMile Arena","Home","21:00","Boise St."
"386",2023-01-07,NA,"Utah St.","ExtraMile Arena","Home","18:30","Boise St."
"387",2023-01-12,NA,"UNLV","Thomas & Mack Center","Away","23:00","Boise St."
"388",2023-01-15,NA,"Wyoming","Arena Auditorium","Away","23:00","Boise St."
"389",2023-01-18,NA,"Nevada","ExtraMile Arena","Home","21:00","Boise St."
"390",2023-01-21,NA,"New Mexico","The Pit","Away","23:00","Boise St."
"391",2023-01-25,NA,"Fresno St.","ExtraMile Arena","Home","21:00","Boise St."
"392",2023-01-29,NA,"Colorado St.","ExtraMile Arena","Home","20:00","Boise St."
"393",2023-02-01,NA,"Air Force","Clune Arena","Away","21:00","Boise St."
"394",2023-02-04,NA,"San Diego St.","Viejas Arena","Away","21:00","Boise St."
"395",2023-02-12,NA,"Wyoming","ExtraMile Arena","Home","20:00","Boise St."
"396",2023-02-15,NA,"Colorado St.","Moby Arena","Away","00:00","Boise St."
"397",2023-02-20,NA,"UNLV","ExtraMile Arena","Home","21:00","Boise St."
"398",2023-02-23,NA,"New Mexico","ExtraMile Arena","Home","22:30","Boise St."
"399",2023-02-25,NA,"San Jose St.","Provident Credit Union Event Center","Away","16:00","Boise St."
"400",2023-03-01,NA,"San Diego St.","ExtraMile Arena","Home","21:00","Boise St."
"401",2023-03-05,NA,"Utah St.","Dee Glen Smith Spectrum","Away","21:00","Boise St."
"402",2022-11-08,"ESPN+","Cornell","Silvio O. Conte Forum","Home","20:00","Boston College"
"403",2022-11-08,"ACCNX","Cornell","Silvio O. Conte Forum","Home","20:00","Boston College"
"404",2022-11-11,"ESPN+","Detroit","Silvio O. Conte Forum","Home","13:00","Boston College"
"405",2022-11-11,"ACCNX","Detroit","Silvio O. Conte Forum","Home","13:00","Boston College"
"406",2022-11-14,"ACCN","Maine","Silvio O. Conte Forum","Home","18:00","Boston College"
"407",2022-11-19,"ESPN3","George Mason","UVI Sports & Fitness Center","Neutral","20:00","Boston College"
"408",2022-11-27,"ACCN","Rhode Island","Silvio O. Conte Forum","Home","12:00","Boston College"
"409",2022-12-01,"ESPNU","Nebraska","Pinnacle Bank Arena","Away","21:15","Boston College"
"410",2022-12-03,"ACCN","Duke","Cameron Indoor Stadium","Away","16:00","Boston College"
"411",2022-12-07,"ACCNX","New Hampshire","Silvio O. Conte Forum","Home","19:00","Boston College"
"412",2022-12-10,NA,"Villanova","Prudential Center","Neutral","17:00","Boston College"
"413",2022-12-14,"ACCNX","Stonehill","Silvio O. Conte Forum","Home","19:00","Boston College"
"414",2022-12-21,"ACCN","Virginia Tech","Silvio O. Conte Forum","Home","18:30","Boston College"
"415",2022-12-31,NA,"Syracuse","JMA Wireless Dome","Away","00:00","Boston College"
"416",2023-01-04,"ACCN","Notre Dame","Silvio O. Conte Forum","Home","19:00","Boston College"
"417",2023-01-07,"ACCN","Duke","Silvio O. Conte Forum","Home","13:00","Boston College"
"418",2023-01-12,NA,"Miami FL","Watsco Center","Away","19:00","Boston College"
"419",2023-01-15,NA,"Wake Forest","Silvio O. Conte Forum","Home","20:00","Boston College"
"420",2023-01-18,"ACCNX","North Carolina","Dean E. Smith Center","Away","19:00","Boston College"
"421",2023-01-21,"ACCNX","Notre Dame","Purcell Pavilion","Away","14:00","Boston College"
"422",2023-01-26,"ACCN","Louisville","Silvio O. Conte Forum","Home","21:00","Boston College"
"423",2023-01-28,"ACCNX","Virginia","John Paul Jones Arena","Away","12:00","Boston College"
"424",2023-02-01,"ACCN","Clemson","Silvio O. Conte Forum","Home","19:00","Boston College"
"425",2023-02-04,"ACCN","Syracuse","Silvio O. Conte Forum","Home","17:00","Boston College"
"426",2023-02-09,"ACCN","Virginia Tech","Cassell Coliseum","Away","19:00","Boston College"
"427",2023-02-11,"ACCNX","North Carolina St.","Silvio O. Conte Forum","Home","12:00","Boston College"
"428",2023-02-15,"ACCN","Pittsburgh","Petersen Events Center","Away","21:00","Boston College"
"429",2023-02-18,"ACCNX","Florida St.","Donald L. Tucker Center","Away","12:00","Boston College"
"430",2023-02-23,"ACCNX","Virginia","Silvio O. Conte Forum","Home","19:00","Boston College"
"431",2023-03-01,"ESPNU","Wake Forest","Lawrence Joel Veterans Memorial Coliseum","Away","19:00","Boston College"
"432",2023-03-04,"ESPNU","Georgia Tech","Silvio O. Conte Forum","Home","14:30","Boston College"
"433",2022-11-08,"ESPN3","Air Force","Stroh Center","Home","19:00","Bowling Green"
"434",2022-11-12,"ESPN+","Oakland","Athletics Center O'rena","Away","19:00","Bowling Green"
"435",2022-11-16,"ESPN+","Wright St.","Nutter Center","Away","19:00","Bowling Green"
"436",2022-11-19,"ESPN+","St. Bonaventure","Reilly Center","Away","14:00","Bowling Green"
"437",2022-11-22,"ACCN","Notre Dame","Purcell Pavilion","Away","18:30","Bowling Green"
"438",2022-11-26,"ESPN+","Southern Indiana","Stroh Center","Home","14:00","Bowling Green"
"439",2022-11-30,"ESPN+","Queens University","Stroh Center","Home","19:00","Bowling Green"
"440",2022-12-03,"ESPN3","Morgan St.","Stroh Center","Home","14:00","Bowling Green"
"441",2022-12-11,NA,"Hampton","Convocation Center (VA)","Away","16:00","Bowling Green"
"442",2022-12-15,NA,"Norfolk St.","Joseph G. Echols Hall","Away","19:30","Bowling Green"
"443",2022-12-17,"ESPN3","Tennessee Martin","Stroh Center","Home","14:00","Bowling Green"
"444",2022-12-19,NA,"Fairmont State","Stroh Center","Home","11:00","Bowling Green"
"445",2022-12-29,NA,"Ohio Dominican","Stroh Center","Home","17:00","Bowling Green"
"446",2023-01-04,"ESPN+","Eastern Michigan","Convocation Center (MI)","Away","19:00","Bowling Green"
"447",2023-01-07,"ESPN3","Ohio","Stroh Center","Home","17:00","Bowling Green"
"448",2023-01-11,"ESPN+","Akron","Stroh Center","Home","19:00","Bowling Green"
"449",2023-01-14,"ESPN+","Western Michigan","University Arena (MI)","Away","13:00","Bowling Green"
"450",2023-01-17,"ESPN+","Buffalo","Alumni Arena","Away","00:00","Bowling Green"
"451",2023-01-21,"ESPN3","Miami OH","Stroh Center","Home","17:00","Bowling Green"
"452",2023-01-25,"ESPN+","Central Michigan","McGuirk Arena","Away","19:00","Bowling Green"
"453",2023-01-28,"ESPN3","Toledo","Savage Arena","Away","14:00","Bowling Green"
"454",2023-02-01,"ESPN+","Ball St.","Stroh Center","Home","19:00","Bowling Green"
"455",2023-02-04,"ESPN3","Northern Illinois","Stroh Center","Home","17:00","Bowling Green"
"456",2023-02-08,"ESPN+","Kent St.","M.A.C. Center","Away","19:00","Bowling Green"
"457",2023-02-11,"ESPN+","Ball St.","Worthen Arena","Away","14:00","Bowling Green"
"458",2023-02-15,"ESPN+","Central Michigan","Stroh Center","Home","19:00","Bowling Green"
"459",2023-02-18,"ESPN3","Toledo","Stroh Center","Home","17:00","Bowling Green"
"460",2023-02-22,"ESPN+","Miami OH","Millett Hall","Away","19:00","Bowling Green"
"461",2023-02-25,"ESPN3","Kent St.","Stroh Center","Home","17:00","Bowling Green"
"462",2023-03-01,"ESPN+","Eastern Michigan","Stroh Center","Home","19:00","Bowling Green"
"463",2023-03-04,"ESPN+","Ohio","Convocation Center (OH)","Away","19:00","Bowling Green"
"464",2022-11-08,"ESPN+","Colgate","Alumni Arena","Home","19:00","Buffalo"
"465",2022-11-12,"ESPN+","James Madison","Alumni Arena","Home","13:00","Buffalo"
"466",2022-11-16,"CBSSN","Connecticut","XL Center","Away","19:00","Buffalo"
"467",2022-11-18,"ESPN3","Drake","UVI Sports & Fitness Center","Neutral","14:00","Buffalo"
"468",2022-11-27,"ESPN+","Canisius","Alumni Arena","Home","14:30","Buffalo"
"469",2022-12-03,"ESPN+","St. Bonaventure","Alumni Arena","Home","14:30","Buffalo"
"470",2022-12-06,"ESPN+","St. John Fisher","Alumni Arena","Home","18:00","Buffalo"
"471",2022-12-10,NA,"Tulane","State Farm Arena","Neutral","00:00","Buffalo"
"472",2022-12-18,"BIG12|ESPN+","West Virginia","WVU Coliseum","Away","17:00","Buffalo"
"473",2022-12-22,"ESPN+","SUNY-Canton","Alumni Arena","Home","19:00","Buffalo"
"474",2022-12-30,NA,"Michigan St.","Breslin Center","Away","18:00","Buffalo"
"475",2023-01-03,"ESPN+","Ohio","Alumni Arena","Home","00:00","Buffalo"
"476",2023-01-07,"ESPN+","Northern Illinois","Alumni Arena","Home","12:00","Buffalo"
"477",2023-01-11,"ESPN+","Miami OH","Millett Hall","Away","19:00","Buffalo"
"478",2023-01-14,"ESPN3","Central Michigan","McGuirk Arena","Away","00:00","Buffalo"
"479",2023-01-17,"ESPN+","Bowling Green","Alumni Arena","Home","00:00","Buffalo"
"480",2023-01-21,"ESPN3","Toledo","Alumni Arena","Home","20:30","Buffalo"
"481",2023-01-25,"ESPN+","Ball St.","Worthen Arena","Away","19:00","Buffalo"
"482",2023-01-28,"ESPNU","Kent St.","M.A.C. Center","Away","21:00","Buffalo"
"483",2023-01-31,"ESPN+","Akron","Alumni Arena","Home","00:00","Buffalo"
"484",2023-02-04,NA,"Western Michigan","University Arena (MI)","Away","14:30","Buffalo"
"485",2023-02-08,"ESPN+","Eastern Michigan","Alumni Arena","Home","19:00","Buffalo"
"486",2023-02-11,NA,"Kent St.","Alumni Arena","Home","00:00","Buffalo"
"487",2023-02-15,"ESPN+","Ohio","Convocation Center (OH)","Away","19:00","Buffalo"
"488",2023-02-18,NA,"Akron","James A. Rhodes Arena","Away","00:00","Buffalo"
"489",2023-02-21,"ESPN+","Central Michigan","Alumni Arena","Home","00:00","Buffalo"
"490",2023-02-25,"ESPN3","Toledo","Savage Arena","Away","14:00","Buffalo"
"491",2023-03-01,"ESPN+","Northern Illinois","NIU Convocation Center","Away","20:00","Buffalo"
"492",2023-03-03,"ESPN+","Miami OH","Alumni Arena","Home","00:00","Buffalo"
"493",2022-11-08,NA,"Idaho St.","Marriott Center","Home","21:00","BYU"
"494",2022-11-12,NA,"San Diego St.","Viejas Arena","Away","22:30","BYU"
"495",2022-11-17,NA,"Missouri St.","Marriott Center","Home","21:00","BYU"
"496",2022-11-20,NA,"Nicholls St.","Marriott Center","Home","21:00","BYU"
"497",2022-11-23,"ESPN2","USC","Imperial Arena","Neutral","17:00","BYU"
"498",2022-11-30,NA,"Westminster (UT)","Vivint Arena","Neutral","21:00","BYU"
"499",2022-12-03,NA,"South Dakota","Vivint Arena","Neutral","15:30","BYU"
"500",2022-12-08,NA,"Utah Valley","Marriott Center","Home","21:00","BYU"
"501",2022-12-11,NA,"Creighton","Michelob ULTRA Arena","Neutral","22:00","BYU"
"502",2022-12-16,NA,"Western Oregon","Marriott Center","Home","21:00","BYU"
"503",2022-12-17,NA,"Utah","Marriott Center","Home","18:00","BYU"
"504",2022-12-21,NA,"Lindenwood","Marriott Center","Home","21:00","BYU"
"505",2022-12-23,NA,"Weber St.","Marriott Center","Home","21:00","BYU"
"506",2022-12-29,NA,"Pacific","Alex G. Spanos Center","Away","00:00","BYU"
"507",2023-01-01,NA,"Portland","Marriott Center","Home","21:00","BYU"
"508",2023-01-06,"ESPNU","Loyola Marymount","Gersten Pavilion","Away","23:00","BYU"
"509",2023-01-08,NA,"San Diego","Jenny Craig Pavilion","Away","22:00","BYU"
"510",2023-01-13,"ESPN","Gonzaga","Marriott Center","Home","21:30","BYU"
"511",2023-01-15,NA,"Pepperdine","Marriott Center","Home","21:00","BYU"
"512",2023-01-20,NA,"Santa Clara","Leavey Center","Away","23:00","BYU"
"513",2023-01-22,NA,"San Francisco","War Memorial at the Sobrato Center","Away","20:00","BYU"
"514",2023-01-29,NA,"Saint Mary's","Marriott Center","Home","22:00","BYU"
"515",2023-02-03,NA,"Loyola Marymount","Marriott Center","Home","21:00","BYU"
"516",2023-02-05,NA,"Pacific","Marriott Center","Home","21:00","BYU"
"517",2023-02-10,NA,"Pepperdine","Firestone Fieldhouse","Away","22:00","BYU"
"518",2023-02-12,NA,"Gonzaga","McCarthey Athletic Center","Away","22:00","BYU"
"519",2023-02-17,NA,"Santa Clara","Marriott Center","Home","21:00","BYU"
"520",2023-02-19,NA,"Saint Mary's","University Credit Union Pavilion","Away","22:00","BYU"
"521",2023-02-26,"ESPNU","San Francisco","Marriott Center","Home","22:00","BYU"
"522",2022-11-08,NA,"UC Davis","Haas Pavilion","Home","23:00","California"
"523",2022-11-12,"PAC12","Kansas St.","Haas Pavilion","Home","19:00","California"
"524",2022-11-16,"ESPN+","UC San Diego","RIMAC Arena","Away","22:00","California"
"525",2022-11-19,NA,"Southern","Haas Pavilion","Home","21:00","California"
"526",2022-11-22,NA,"Texas St.","Haas Pavilion","Home","22:00","California"
"527",2022-11-26,"CBSSN","TCU","The Arena at Northwest FL St","Neutral","21:30","California"
"528",2022-12-01,NA,"USC","Haas Pavilion","Home","22:00","California"
"529",2022-12-04,NA,"Arizona","McKale Center","Away","17:00","California"
"530",2022-12-08,NA,"Eastern Washington","Haas Pavilion","Home","22:00","California"
"531",2022-12-10,NA,"Butler","Haas Pavilion","Home","17:00","California"
"532",2022-12-18,NA,"Santa Clara","Leavey Center","Away","17:00","California"
"533",2022-12-22,NA,"UT Arlington","Haas Pavilion","Home","19:00","California"
"534",2022-12-30,NA,"Utah","Haas Pavilion","Home","22:00","California"
"535",2022-12-31,NA,"Colorado","Haas Pavilion","Home","18:00","California"
"536",2023-01-07,"ESPNU","Stanford","Haas Pavilion","Home","21:00","California"
"537",2023-01-12,NA,"Washington St.","Friel Court at Beasley Coliseum","Away","23:00","California"
"538",2023-01-14,NA,"Washington","Alaska Airlines Arena","Away","18:00","California"
